Word,Frequency
und,65132
die,40941
der,38817
ich,28444
in,23486
sie,22934
zu,21629
das,21370
es,20333
nicht,18620
den,18374
er,16551
sich,16437
ist,16235
ein,15243
von,14195
so,13326
mit,13018
auf,12489
wie,11478
war,11236
dem,11180
da,11054
an,9521
aber,9514
als,9084
mir,8548
eine,8208
was,7920
ihr,7912
des,7737
noch,7717
man,7686
du,7460
dass,7373
auch,7262
mich,6823
wenn,6138
sein,5897
aus,5679
im,5417
nur,5077
nach,5032
wir,4931
vor,4837
um,4627
ihn,4588
doch,4576
ihm,4452
einen,4430
hat,4259
einem,4180
sind,4081
nun,4067
hatte,4056
denn,4044
wird,3944
mein,3594
alles,3571
oder,3524
einer,3441
the,3368
schon,3302
werden,3285
hier,3210
diese,3209
alle,3125
immer,3109
mehr,3100
ja,3071
uns,3065
haben,3063
bei,3048
durch,3028
will,3025
meine,2996
wieder,2980
zum,2961
dann,2922
nichts,2785
seine,2757
ganz,2743
euch,2698
to,2632
wo,2571
zur,2503
am,2454
kann,2452
ber,2449
dieser,2410
ihre,2382
selbst,2367
of,2348
zeit,2301
dich,2265
fuer,2261
you,2258
ihnen,2227
etwas,2215
or,2148
habe,2120
wohl,2092
welche,2080
unter,2079
dir,2026
bis,1964
seiner,1934
sei,1921
sehr,1878
gut,1877
jetzt,1855
waren,1852
menschen,1807
ohne,1803
frau,1792
bin,1781
leben,1768
herr,1746
ueber,1705
liebe,1687
and,1680
sch,1675
gleich,1675
seinen,1667
gegen,1659
sah,1631
also,1621
viel,1620
kam,1616
sagte,1585
wer,1545
gott,1543
einmal,1516
seinem,1509
ob,1503
sagen,1499
this,1496
en,1490
project,1474
weil,1469
soll,1455
ihren,1452
eines,1449
hin,1433
vom,1431
recht,1425
keine,1419
diesen,1419
vielleicht,1409
ihrer,1405
hand,1399
gutenberg,1393
konnte,1384
augen,1380
diesem,1351
kommt,1348
geht,1327
kein,1310
welt,1309
sehen,1303
effi,1290
macht,1271
wurde,1259
mann,1255
muss,1253
gro,1238
zarathustra,1194
dieses,1165
gar,1165
mu,1158
st,1142
erst,1142
allen,1141
dies,1136
nacht,1129
ihrem,1127
her,1125
romeo,1124
meiner,1116
wollte,1100
selber,1099
sprach,1084
ab,1077
vater,1070
herz,1066
machen,1065
allein,1062
lange,1061
nie,1058
tag,1052
damit,1042
te,1042
by,1036
wenig,1027
ach,1024
alten,1022
re,1021
kommen,1009
is,995
meinen,994
if,986
lassen,983
ging,981
ck,976
kleine,965
nein,963
kleinen,960
eben,949
erde,934
art,932
gl,926
himmel,925
wollen,925
licht,923
ganze,916
weg,898
wei,890
sondern,889
meinem,889
mensch,888
heute,886
gewesen,881
zwei,881
tage,877
for,874
zwischen,870
dein,869
gr,867
gerade,866
gesicht,864
andern,859
genug,857
wort,854
be,853
denen,846
bist,843
dort,837
gab,822
deine,816
ganzen,814
fr,814
adam,814
steht,805
weiss,805
seele,798
fort,796
aller,792
davon,792
andere,788
ins,786
ebook,786
other,785
stand,785
it,783
wissen,777
gehen,774
any,764
sollte,760
geh,758
innstetten,758
sonst,754
may,751
allem,749
welcher,736
bald,734
alte,732
worden,730
dazu,730
jeder,730
gesehen,725
endlich,719
kaum,718
giebt,718
all,714
we,712
kind,709
oh,706
stadt,705
sagt,702
grossen,690
herrn,689
hinter,687
tod,682
werde,680
tte,677
leute,677
guten,676
hast,672
darauf,671
hatten,668
liegt,666
weit,663
warum,661
are,660
fast,660
dabei,659
weiter,651
waere,651
gen,647
nde,644
namen,641
oft,638
morgen,638
haus,638
haette,638
drei,636
dessen,633
not,632
gute,625
ersten,625
rt,623
je,621
ren,620
sieht,607
geben,605
ende,602
solche,601
grosse,600
on,599
augenblick,599
that,598
wirklich,594
dinge,592
geist,592
ge,590
he,590
anderen,590
nahm,586
gef,585
tun,582
zimmer,580
mag,578
stimme,573
indem,571
geworden,570
tr,568
eigentlich,567
lag,565
anders,565
kopf,562
hause,562
luise,560
seines,559
nehmen,557
wurden,556
walter,556
welches,553
beiden,553
seit,553
rde,551
glich,550
sonne,549
finden,547
glauben,544
neben,542
blick,539
lieber,536
schien,535
deren,532
as,530
hart,530
willen,529
weib,528
viele,526
your,521
blut,521
sogar,520
auge,516
ferdinand,514
hab,513
wuerde,512
schwer,509
jene,508
etext,506
abend,506
ward,506
freund,505
voll,503
fenster,502
jener,500
eure,500
leicht,496
mutter,496
fand,496
besser,495
scheint,493
daran,492
luft,490
seite,489
stehen,487
denken,487
nen,484
ebooks,482
darin,479
freilich,479
capulet,478
machte,475
worte,474
balthasar,474
natur,473
